"","","","","","","","","","Normalized abundance","","","","","","Raw abundance","","","","","","Spectral counts","","","","","",
"","","","","","","","","","Condition 4","","","Condition 1","","","Condition 4","","","Condition 1","","","Condition 4","","","Condition 1","","",
"Accession","Peptide count","Peptides used for quantitation","Confidence score","Anova (p)","Max fold change","Highest mean condition","Lowest mean condition","Description","mam_042408o_CPTAC_study6_6E004","mam_050108o_CPTAC_study6_6E004","mam_050108o_CPTAC_study6_6E004_080505133441","mam_042408o_CPTAC_study6_6B011","mam_050108o_CPTAC_study6_6B011","mam_050108o_CPTAC_study6_6B011_080504231912","mam_042408o_CPTAC_study6_6E004","mam_050108o_CPTAC_study6_6E004","mam_050108o_CPTAC_study6_6E004_080505133441","mam_042408o_CPTAC_study6_6B011","mam_050108o_CPTAC_study6_6B011","mam_050108o_CPTAC_study6_6B011_080504231912","mam_042408o_CPTAC_study6_6E004","mam_050108o_CPTAC_study6_6E004","mam_050108o_CPTAC_study6_6E004_080505133441","mam_042408o_CPTAC_study6_6B011","mam_050108o_CPTAC_study6_6B011","mam_050108o_CPTAC_study6_6B011_080504231912",
"sial|G5524;B0LXN9_SHEEP;C0SJM3_MACFA;F7FH85_CALJA;G0QSD6_ICHMG;G1QU61_NOMLE","9","9","439.89","1.55158108583464E-09","19.3736327922747","Condition 4","Condition 1","Glutathione S-Transferase Isozyme A1-1","1485469.83397455","1516114.10360588","1485569.4464299","78441.3421981752","75845.0180109393","77324.996944285","1388017.96891185","2513737.77451609","1723993.55784268","63611.051595142","75845.0180109393","86726.5584616188","1","2","5","2","2","0",
"sial|M6036","7","6","262.67","1.30743134096889E-08","38.8254622688022","Condition 4","Condition 1","Myoglobin from Heart","567084.889790805","551706.511918781","568994.714937015","14880.6591869916","14755.6829150109","13834.7724197376","529882.195468075","914736.889630083","660314.618986904","12067.289426563","14755.6829150109","15516.8735399768","3","2","2","1","1","1",
"sial|C3483;AT4G10040.1;CYC_GORGO","6","6","295.65","1.65638551763436E-08","38.5319871754506","Condition 4","Condition 1","Cytochrome c human","572975.036701018","552140.430810753","566319.262369418","14889.1268517983","13942.1272813884","15065.6443625865","535385.92874082","915456.333046137","657209.773904141","12074.1561762617","13942.1272813884","16897.4010760745","3","1","2","2","1","2",
"sial|C8696;A1YZD1_BOVIN;A5HC45_RABIT;A9L947_PAPAN;B1MTZ2_CALMO;B2KIN4_RHIFE;CATD_HUMAN;F6YAL3_CALJA;F8W787_HUMAN;F8WD96_HUMAN;H2NCE8_PONAB","11","9","453.88","1.76060099832398E-08","36.9146987956345","Condition 4","Condition 1","Cathepsin D from Human Liver","653880.705451688","679794.315886346","699056.730695647","18336.1639298559","18942.5043477972","17786.9781546041","610983.910904007","1127108.20820188","811250.731618172","14869.4889341934","18942.5043477972","19949.6082992709","7","2","2","1","2","1",
"sial|A9460;A1L5B6_BOVIN;ANXA5_HUMAN;ANXA5_MOUSE","4","4","200.43","1.97623428732641E-08","39.0036874965745","Condition 4","Condition 1","Annexin V from human placenta","160529.327624687","170857.329469752","172872.188219184","4408.23158197006","4337.80983362452","4182.45016248786","149998.058650728","283283.772718404","200617.035801498","3574.80174033222","4337.80983362452","4690.97346089994","3","2","3","0","0","0",
"sial|P8986;A6N9S1_ORNPR;B2KSE9_HELAM;D2HC39_AILME;F1S3U9_PIG","10","5","521.52","3.14050503380514E-08","15.742389872279","Condition 4","Condition 1","Peroxiredoxin 1","616964.332723862","645235.928589302","601408.348639038","40264.7418167452","38727.1203523282","39389.6939397519","576489.377577692","1069809.93271699","697930.427404917","32652.2022366623","38727.1203523282","44178.8907759362","2","1","3","1","0","0",
"sial|B8181;BID_HUMAN;E2IV84_AOTVO;E2IV87_9PRIM;G1R8L1_NOMLE","8","8","443.27","5.29119322800753E-08","35.4536411012912","Condition 4","Condition 1","BH3-interacting domain death agonist","429454.028769682","454145.121477256","442449.742466068","11982.1154380742","13230.8063697977","12189.4112536176","401280.386259339","752978.779271574","513460.011925903","9716.75065713006","13230.8063697977","13671.4610989417","6","6","5","1","0","0",
"sial|C3556;A0T1H8_XENLA;B4DWK8_HUMAN;CATA_CALJA;F6Y8K9_MONDO;G3W0A6_SARHA","15","11","729.66","5.4595063025964E-08","35.9022425931504","Condition 4","Condition 1","Catalase from erythrocytes","735326.039535126","798369.347417322","726065.153824335","21465.798782019","20226.3099048908","21249.9355297907","687086.154521683","1323707.22087839","842593.82876738","17407.4282207491","20226.3099048908","23833.6094259132","3","9","9","0","0","0",
"sial|C3805;A6MKR8_CALJA;AT3G56070.1;B2RE56_HUMAN;B2ZWT4_HAELO","9","3","343.9","6.18755037207208E-08","17.2667888456612","Condition 4","Condition 1","Cyclophilin A","181189.45885599","176905.617859743","166287.534961416","9984.53742754533","10388.9488985019","9995.94810465849","169302.81512121","293311.917012377","192975.589065838","8096.83908585628","10388.9488985019","11211.3056829813","1","1","0","0","0","1",
"sial|I2526;A0JGX5_TAKRU;A1Z5I5_CEREL;A3E108_MONDO;B2MUX6_HUMAN;F6KZW8_SHEEP;Q862E7_BOVIN","5","5","337.36","9.63349576776906E-08","44.4770957576551","Condition 4","Condition 1","Insulin-like Growth Factor-II human","1496770.59390923","1467136.92605892","1444812.42378474","35830.5519388412","31810.243476842","31482.5818788896","1398577.36062277","2432532.94897151","1676695.30151009","29056.3499322308","31810.243476842","35310.3923147845","3","2","2","0","2","2",
"YML010W;H0GLW0_9SACH","3","2","87.21","1.17862934301272E-07","2.75909803543477","Condition 4","Condition 1","SPT5 SGDID:S000004470, Chr XIII from 247677-250868, Verified ORF, """"Protein that forms a complex with Spt4p and mediates both activation and inhibition of transcription elongation; Spt4p-Spt5p complex also plays a role in pre-mRNA processing""""","19369.0995818019","19156.1879343567","18747.0272518389","6943.08718297159","6823.11870389741","6991.41636230658","18098.4208809215","31761.2197603033","21755.801648009","5630.41203336076","6823.11870389741","7841.46788019904","1","0","1","0","2","0",
"sial|U9257;B0QYN7_HUMAN","6","6","200.83","1.44997512330214E-07","26.0090735754513","Condition 4","Condition 1","Ubiquitin-Carrier Protein H9","616695.309761385","655573.716546489","583635.433452353","24848.2005299192","23490.6903505414","23017.1477872112","576238.003435029","1086950.12555018","677305.076392505","20150.3457444905","23490.6903505414","25815.6882259642","1","1","1","1","1","0",
"sial|C9858;A2RTA0_MOUSE;A3RH11_POERE;A5LH92_PHYMC;B2R892_HUMAN;B4DNF8_HUMAN;B4DUP1_HUMAN;F6ZLQ5_MACMU;F7BR99_HORSE;G3HPD8_CRIGR;G5BKU0_HETGA;H2NZ79_PONAB;H9H6G4_MONDO;I3KFP0_ORENI;KCRM_HUMAN;KCRM_RABIT;M3Y3U7_MUSPF;Q8JH39_OREMO","17","16","762.41","1.90583786308096E-07","31.4726041441121","Condition 4","Condition 1","Creatine Kinase MM","1356262.28613176","1322313.43831535","1290880.08356876","38445.2670405358","44006.2548568215","43672.6396064019","1267286.87493535","2192413.63940746","1498057.83456854","31176.7213152228","44006.2548568215","48982.5784891641","7","5","5","0","2","2",
"sial|C5788;B0AQU0_BACAN;CO5_HUMAN;F7GHV1_MACMU;G3QIN8_GORGO;H2PT89_PONAB","6","6","346.41","2.10240032827436E-07","27.9824285316115","Condition 4","Condition 1","Complement C5a with attached glutathione (ECG)","1454022.90909759","1313826.05606502","1277538.73526947","50288.3982083928","47808.4066457218","46472.0518432966","1358634.06908572","2178341.44436708","1482575.28774033","40780.7643702652","47808.4066457218","52122.3573267392","1","2","2","1","1","2",
"sial|A2221;A0N066_MACMU;A7YB36_PIG;ANT3_MOUSE;D2H5I3_AILME;F6Y0M9_MACMU;G3S9Q7_GORGO;G3SU45_LOXAF;H0WRA0_OTOGA;I3MQS8_SPETR","7","7","319.56","2.65263827015083E-07","28.0781605699358","Condition 4","Condition 1","Antithrombin III from plasma","600406.803514039","625568.239193121","608246.539281558","20869.2996709772","23854.5904613111","20601.6705439578","561018.078505583","1037200.63658615","705866.102605653","16923.7045277878","23854.5904613111","23106.5251269902","3","2","4","1","0","2",
"CAH1_HUMAN;CAH1_GORGO;G1QRE6_NOMLE;sial|C4396","2","2","125.18","2.77485698085833E-07","26.0620456956503","Condition 4","Condition 1","Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2","114730.314912236","121562.925093724","131842.94235931","4951.76455045094","4610.78784050204","4562.82313268488","107203.61668403","201552.980782902","153002.866221239","4015.57318473648","4610.78784050204","5117.59408735506","0","1","3","1","0","0",
"sial|S0439","8","3","303.03","4.01094770396959E-07","28.050809812023","Condition 4","Condition 1","SUMO-1 with GST tag","402639.722274061","369059.570529455","347145.274906078","13195.68091701","12610.340384515","14080.3340374941","376225.189318551","611905.780231258","402859.805047723","10700.8768096332","12610.340384515","15792.2917726297","1","1","1","1","1","2",
"GSTP1_HUMAN;sial|G8642","2","2","110.41","4.13280057287579E-07","22.8069628267726","Condition 4","Condition 1","Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2","235431.000816754","251349.405836384","256250.701666916","11781.0664459513","10637.8884613873","10160.1795422439","219985.927750689","416740.728517975","297377.251482989","9553.71242432203","10637.8884613873","11395.5052036518","2","2","0","0","1","0",
"sial|F0677;C0LSI8_PIG","3","3","165.4","4.38212474862532E-07","19.4497862245847","Condition 4","Condition 1","Fatty Acid Binding Protein human","112327.830535173","123671.468598667","123658.850190092","5727.09066615379","6463.55881060201","6300.97532420582","104958.743439805","205048.974550771","143505.281163584","4644.31446028011","6463.55881060201","7067.07955273112","1","1","3","0","0","0",
